Ticker,Name,FIGI,ISIN
PYPL,PAYPAL HOLDINGS INC,BBG0077VNXV6,BBG0077VNXV6
PNR,PENTAIR PLC,BBG000C221G9,BBG000C221G9
PEP,PEPSICO INC,BBG000DH7JK6,BBG000DH7JK6
PFE,PFIZER INC,BBG000BR2B91,BBG000BR2B91
PCG,P G & E CORP,BBG000BQWPC5,BBG000BQWPC5
PM,PHILIP MORRIS INTERNATIONAL,BBG000J2XL74,BBG000J2XL74
PSX,PHILLIPS 66,BBG00286S4N9,BBG00286S4N9
PNW,PINNACLE WEST CAPITAL,BBG000BRDSX5,BBG000BRDSX5
PNC,PNC FINANCIAL SERVICES GROUP,BBG000BRD0D8,BBG000BRD0D8
POOL,POOL CORP,BBG000BCVG28,BBG000BCVG28
PPG,PPG INDUSTRIES INC,BBG000BRJ809,BBG000BRJ809
PPL,PPL CORP,BBG000BRJL00,BBG000BRJL00
PFG,PRINCIPAL FINANCIAL GROUP,BBG000NSCNT7,BBG000NSCNT7
PG,PROCTER & GAMBLE CO/THE,BBG000BR2TH3,BBG000BR2TH3
PGR,PROGRESSIVE CORP,BBG000BR37X2,BBG000BR37X2
PLD,PROLOGIS INC,BBG000B9Z0J8,BBG000B9Z0J8
PRU,PRUDENTIAL FINANCIAL INC,BBG000HCJMF9,BBG000HCJMF9
PEG,PUBLIC SERVICE ENTERPRISE GP,BBG000BQZMH4,BBG000BQZMH4
PTC,PTC INC,BBG000C2VBB0,BBG000C2VBB0
PSA,PUBLIC STORAGE,BBG000BPPN67,BBG000BPPN67
PHM,PULTEGROUP INC,BBG000BR54L0,BBG000BR54L0
PWR,QUANTA SERVICES INC,BBG000BBL8V7,BBG000BBL8V7
QCOM,QUALCOMM INC,BBG000CGC1X8,BBG000CGC1X8
DGX,QUEST DIAGNOSTICS INC,BBG000BN84F3,BBG000BN84F3
Q,QNITY ELECTRONICS INC,BBG01TRL73S5,BBG01TRL73S5
RL,RALPH LAUREN CORP,BBG000BS0ZF1,BBG000BS0ZF1
RJF,RAYMOND JAMES FINANCIAL INC,BBG000BS73J1,BBG000BS73J1
RTX,RTX CORP,BBG000BW8S60,BBG000BW8S60
O,REALTY INCOME CORP,BBG000DHPN63,BBG000DHPN63
REG,REGENCY CENTERS CORP,BBG000BL46Q4,BBG000BL46Q4
REGN,REGENERON PHARMACEUTICALS,BBG000C734W3,BBG000C734W3
RF,REGIONS FINANCIAL CORP,BBG000Q3JN03,BBG000Q3JN03
RSG,REPUBLIC SERVICES INC,BBG000BPXVJ6,BBG000BPXVJ6
RMD,RESMED INC,BBG000L4M7F1,BBG000L4M7F1
RVTY,REVVITY INC,BBG000FXW512,BBG000FXW512
HOOD,ROBINHOOD MARKETS INC - A,BBG008NMBXN8,BBG008NMBXN8
ROK,ROCKWELL AUTOMATION INC,BBG000BBCDZ2,BBG000BBCDZ2
ROL,ROLLINS INC,BBG000BSBBP1,BBG000BSBBP1
ROP,ROPER TECHNOLOGIES INC,BBG000F1ZSN5,BBG000F1ZSN5
ROST,ROSS STORES INC,BBG000BSBZH7,BBG000BSBZH7
RCL,ROYAL CARIBBEAN CRUISES LTD,BBG000BB5792,BBG000BB5792
SPGI,S&P GLOBAL INC,BBG000BP1Q11,BBG000BP1Q11
CRM,SALESFORCE INC,BBG000BN2DC2,BBG000BN2DC2
SNDK,SANDISK CORP,BBG01R388JG1,BBG01R388JG1
SBAC,SBA COMMUNICATIONS CORP,BBG000D2M0Z7,BBG000D2M0Z7
SLB,SLB LTD,BBG000BT41Q8,BBG000BT41Q8
STX,SEAGATE TECHNOLOGY HOLDINGS,BBG0113JGQF0,BBG0113JGQF0
SRE,SEMPRA,BBG000C2ZCH8,BBG000C2ZCH8
NOW,SERVICENOW INC,BBG000M1R011,BBG000M1R011
SHW,SHERWIN-WILLIAMS CO/THE,BBG000BSXQV7,BBG000BSXQV7
SPG,SIMON PROPERTY GROUP INC,BBG000BJ2D31,BBG000BJ2D31
SWKS,SKYWORKS SOLUTIONS INC,BBG000KLB4Q1,BBG000KLB4Q1
SJM,JM SMUCKER CO/THE,BBG000BT1715,BBG000BT1715
SW,SMURFIT WESTROCK PLC,BBG01NK9ZXT4,BBG01NK9ZXT4
SNA,SNAP-ON INC,BBG000BT7JW9,BBG000BT7JW9
SOLV,SOLVENTUM CORP,BBG018YZH6T3,BBG018YZH6T3
SO,SOUTHERN CO/THE,BBG000BT9DW0,BBG000BT9DW0
LUV,SOUTHWEST AIRLINES CO,BBG000BNJHS8,BBG000BNJHS8
SWK,STANLEY BLACK & DECKER INC,BBG000BTQR96,BBG000BTQR96
SBUX,STARBUCKS CORP,BBG000CTQBF3,BBG000CTQBF3
STT,STATE STREET CORP,BBG000BKFBD7,BBG000BKFBD7
STLD,STEEL DYNAMICS INC,BBG000HGYNZ9,BBG000HGYNZ9
STE,STERIS PLC,BBG00MRHG523,BBG00MRHG523
SYK,STRYKER CORP,BBG000DN7P92,BBG000DN7P92
SMCI,SUPER MICRO COMPUTER INC,BBG000MYZDJ3,BBG000MYZDJ3
SYF,SYNCHRONY FINANCIAL,BBG00658F3P3,BBG00658F3P3
SNPS,SYNOPSYS INC,BBG000BSFRF3,BBG000BSFRF3
SYY,SYSCO CORP,BBG000BTVJ25,BBG000BTVJ25
TMUS,T-MOBILE US INC,BBG000NDV1D4,BBG000NDV1D4
TROW,T ROWE PRICE GROUP INC,BBG000BVMPN3,BBG000BVMPN3
TTWO,TAKE-TWO INTERACTIVE SOFTWRE,BBG000BS1YV5,BBG000BS1YV5
TPR,TAPESTRY INC,BBG000BY29C7,BBG000BY29C7
TRGP,TARGA RESOURCES CORP,BBG0015XMW40,BBG0015XMW40
TGT,TARGET CORP,BBG000H8TVT2,BBG000H8TVT2
TEL,TE CONNECTIVITY PLC,BBG01Q08MMR1,BBG01Q08MMR1
TDY,TELEDYNE TECHNOLOGIES INC,BBG000BMT9T6,BBG000BMT9T6
TER,TERADYNE INC,BBG000BV4DR6,BBG000BV4DR6
TSLA,TESLA INC,BBG000N9MNX3,BBG000N9MNX3
TXN,TEXAS INSTRUMENTS INC,BBG000BVV7G1,BBG000BVV7G1
TPL,TEXAS PACIFIC LAND CORP,BBG00YRJXKB1,BBG00YRJXKB1
TXT,TEXTRON INC,BBG000BVVQQ8,BBG000BVVQQ8
TMO,THERMO FISHER SCIENTIFIC INC,BBG000BVDLH9,BBG000BVDLH9
TJX,TJX COMPANIES INC,BBG000BV8DN6,BBG000BV8DN6
TKO,TKO GROUP HOLDINGS INC,BBG01G9JKWV5,BBG01G9JKWV5
TTD,TRADE DESK INC/THE -CLASS A,BBG00629NGT2,BBG00629NGT2
TSCO,TRACTOR SUPPLY COMPANY,BBG000BLXZN1,BBG000BLXZN1
TT,TRANE TECHNOLOGIES PLC,BBG000BM6788,BBG000BM6788
TDG,TRANSDIGM GROUP INC,BBG000L8CBX4,BBG000L8CBX4
TRV,TRAVELERS COS INC/THE,BBG000BJ81C1,BBG000BJ81C1
TRMB,TRIMBLE INC,BBG000BNPS52,BBG000BNPS52
TFC,TRUIST FINANCIAL CORP,BBG000BYYLS8,BBG000BYYLS8
TYL,TYLER TECHNOLOGIES INC,BBG000BVWZF9,BBG000BVWZF9
TSN,TYSON FOODS INC-CL A,BBG000DKCC19,BBG000DKCC19
USB,US BANCORP,BBG000FFDM15,BBG000FFDM15
UBER,UBER TECHNOLOGIES INC,BBG002B04MT8,BBG002B04MT8
UDR,UDR INC,BBG000C41023,BBG000C41023
ULTA,ULTA BEAUTY INC,BBG00FWQ4VD6,BBG00FWQ4VD6
UNP,UNION PACIFIC CORP,BBG000BW3299,BBG000BW3299
UAL,UNITED AIRLINES HOLDINGS INC,BBG000M65M61,BBG000M65M61
UPS,UNITED PARCEL SERVICE-CL B,BBG000L9CV04,BBG000L9CV04
URI,UNITED RENTALS INC,BBG000BXMFC3,BBG000BXMFC3
UNH,UNITEDHEALTH GROUP INC,BBG000CH5208,BBG000CH5208
UHS,UNIVERSAL HEALTH SERVICES-B,BBG000CB8Q50,BBG000CB8Q50
VLO,VALERO ENERGY CORP,BBG000BBGGQ1,BBG000BBGGQ1
VEEV,VEEVA SYSTEMS INC-CLASS A,BBG001CGB489,BBG001CGB489
VTR,VENTAS INC,BBG000FRVHB9,BBG000FRVHB9
VLTO,VERALTO CORP,BBG019Q32XJ9,BBG019Q32XJ9
VRSN,VERISIGN INC,BBG000BGKHZ3,BBG000BGKHZ3
VRSK,VERISK ANALYTICS INC,BBG000BCZL41,BBG000BCZL41
VZ,VERIZON COMMUNICATIONS INC,BBG000HS77T5,BBG000HS77T5
VRTX,VERTEX PHARMACEUTICALS INC,BBG000C1S2X2,BBG000C1S2X2
VRT,VERTIV HOLDINGS CO-A,BBG00L2B8KW8,BBG00L2B8KW8
VTRS,VIATRIS INC,BBG00Y4RQNH4,BBG00Y4RQNH4
VICI,VICI PROPERTIES INC,BBG00HVVB499,BBG00HVVB499
V,VISA INC-CLASS A SHARES,BBG000PSKYX7,BBG000PSKYX7
VST,VISTRA CORP,BBG00DXDL6Q1,BBG00DXDL6Q1
VMC,VULCAN MATERIALS CO,BBG000BWGYF8,BBG000BWGYF8
WRB,WR BERKLEY CORP,BBG000BD1HP2,BBG000BD1HP2
GWW,WW GRAINGER INC,BBG000BKR1D6,BBG000BKR1D6
WAB,WABTEC CORP,BBG000BDD940,BBG000BDD940
WMT,WALMART INC,BBG000BWXBC2,BBG000BWXBC2
DIS,WALT DISNEY CO/THE,BBG000BH4R78,BBG000BH4R78
WBD,WARNER BROS DISCOVERY INC,BBG011386VF4,BBG011386VF4
WM,WASTE MANAGEMENT INC,BBG000BWVSR1,BBG000BWVSR1
WAT,WATERS CORP,BBG000FQRVM3,BBG000FQRVM3
WEC,WEC ENERGY GROUP INC,BBG000BWP7D9,BBG000BWP7D9
WFC,WELLS FARGO & CO,BBG000BWQFY7,BBG000BWQFY7
WELL,WELLTOWER INC,BBG000BKY1G5,BBG000BKY1G5
WST,WEST PHARMACEUTICAL SERVICES,BBG000BX24N8,BBG000BX24N8
WDC,WESTERN DIGITAL CORP,BBG000BWNFZ9,BBG000BWNFZ9
WY,WEYERHAEUSER CO,BBG000BX3BL3,BBG000BX3BL3
WSM,WILLIAMS-SONOMA INC,BBG000FSMWC3,BBG000FSMWC3
WMB,WILLIAMS COS INC,BBG000BWVCP8,BBG000BWVCP8
WTW,WILLIS TOWERS WATSON PLC,BBG000DB3KT1,BBG000DB3KT1
WDAY,WORKDAY INC-CLASS A,BBG000VC0T95,BBG000VC0T95
WYNN,WYNN RESORTS LTD,BBG000LD9JQ8,BBG000LD9JQ8
XEL,XCEL ENERGY INC,BBG000BCTQ65,BBG000BCTQ65
XYL,XYLEM INC,BBG001D8R5D0,BBG001D8R5D0
YUM,YUM! BRANDS INC,BBG000BH3GZ2,BBG000BH3GZ2
ZBRA,ZEBRA TECHNOLOGIES CORP-CL A,BBG000CC7LQ7,BBG000CC7LQ7
ZBH,ZIMMER BIOMET HOLDINGS INC,BBG000BKPL53,BBG000BKPL53
ZTS,ZOETIS INC,BBG0039320N9,BBG0039320N9
