Ticker,Name,FIGI,ISIN
CPB,THE CAMPBELL'S COMPANY,BBG000BG4202,BBG000BG4202
COF,CAPITAL ONE FINANCIAL CORP,BBG000BGKTF9,BBG000BGKTF9
CAH,CARDINAL HEALTH INC,BBG000D898T9,BBG000D898T9
CCL,CARNIVAL CORP LTD,BBG000BF6LY3,BBG000BF6LY3
CARR,CARRIER GLOBAL CORP,BBG00RP5HYS8,BBG00RP5HYS8
CVNA,CARVANA CO,BBG00GCTWDJ3,BBG00GCTWDJ3
CASY,CASEY'S GENERAL STORES INC,BBG000BF0672,BBG000BF0672
CAT,CATERPILLAR INC,BBG000BF0K17,BBG000BF0K17
CBOE,CBOE GLOBAL MARKETS INC,BBG000QH56C1,BBG000QH56C1
CBRE,CBRE GROUP INC - A,BBG000C04224,BBG000C04224
CDW,CDW CORP/DE,BBG001P63B80,BBG001P63B80
COR,CENCORA INC,BBG000MDCQC2,BBG000MDCQC2
CNC,CENTENE CORP,BBG000BDXCJ5,BBG000BDXCJ5
CNP,CENTERPOINT ENERGY INC,BBG000FDBX90,BBG000FDBX90
CF,CF INDUSTRIES HOLDINGS INC,BBG000BWJFZ4,BBG000BWJFZ4
CRL,CHARLES RIVER LABORATORIES,BBG000BG5BL8,BBG000BG5BL8
SCHW,SCHWAB (CHARLES) CORP,BBG000BSLZY7,BBG000BSLZY7
CHTR,CHARTER COMMUNICATIONS INC-A,BBG000VPGNR2,BBG000VPGNR2
CVX,CHEVRON CORP,BBG000K4ND22,BBG000K4ND22
CMG,CHIPOTLE MEXICAN GRILL INC,BBG000QX74T1,BBG000QX74T1
CB,CHUBB LTD,BBG000BR14K5,BBG000BR14K5
CHD,CHURCH & DWIGHT CO INC,BBG000BFJT36,BBG000BFJT36
CIEN,CIENA CORP,BBG000BP1152,BBG000BP1152
CI,THE CIGNA GROUP,BBG00KXRCDP0,BBG00KXRCDP0
CINF,CINCINNATI FINANCIAL CORP,BBG000BFPK65,BBG000BFPK65
CTAS,CINTAS CORP,BBG000H3YXF8,BBG000H3YXF8
CSCO,CISCO SYSTEMS INC,BBG000C3J3C9,BBG000C3J3C9
C,CITIGROUP INC,BBG000FY4S11,BBG000FY4S11
