underlying_ticker,trading_date,maturity_date,strike,option_type,option_contract,option_price,spot_price
SPX,2026-01-06,2026-01-16,4125,PUT,SPX260116P04125000,0.05,6944.82
SPX,2025-09-02,2026-01-16,4150,CALL,SPX260116C04150000,2325.06,6415.54
SPX,2025-09-02,2026-01-16,4175,CALL,SPX260116C04175000,2302.07,6415.54
SPX,2026-01-06,2026-01-16,4175,PUT,SPX260116P04175000,0.05,6944.82
SPX,2025-09-26,2026-01-16,4200,CALL,SPX260116C04200000,2489.71,6643.7
SPX,2026-01-07,2026-01-16,4200,PUT,SPX260116P04200000,0.05,6920.93
SPX,2025-09-02,2026-01-16,4225,CALL,SPX260116C04225000,2253.57,6415.54
SPX,2026-01-09,2026-01-16,4225,PUT,SPX260116P04225000,0.03,6966.28
SPX,2025-12-08,2026-01-16,4250,CALL,SPX260116C04250000,2608.98,6846.51
SPX,2025-10-29,2026-01-16,4275,CALL,SPX260116C04275000,2656.67,6890.59
SPX,2026-01-09,2026-01-16,4275,PUT,SPX260116P04275000,0.05,6966.28
SPX,2026-01-09,2026-01-16,4300,PUT,SPX260116P04300000,0.05,6966.28
SPX,2026-01-07,2026-01-16,4325,PUT,SPX260116P04325000,0.05,6920.93
SPX,2026-01-09,2026-01-16,4375,PUT,SPX260116P04375000,0.05,6966.28
SPX,2025-12-30,2026-01-16,4400,CALL,SPX260116C04400000,2509,6896.24
SPX,2025-12-30,2026-01-16,4425,CALL,SPX260116C04425000,2486.5,6896.24
SPX,2026-01-08,2026-01-16,4425,PUT,SPX260116P04425000,0.05,6921.46
SPX,2025-12-30,2026-01-16,4450,CALL,SPX260116C04450000,2455.67,6896.24
SPX,2026-01-09,2026-01-16,4450,PUT,SPX260116P04450000,0.05,6966.28
SPX,2025-08-11,2026-01-16,4475,CALL,SPX260116C04475000,1990.53,6373.45
SPX,2026-01-08,2026-01-16,4475,PUT,SPX260116P04475000,0.15,6921.46
SPX,2026-01-09,2026-01-16,4500,PUT,SPX260116P04500000,0.08,6966.28
SPX,2025-12-26,2026-01-16,4525,CALL,SPX260116C04525000,2413.27,6929.94
SPX,2026-01-06,2026-01-16,4525,PUT,SPX260116P04525000,0.05,6944.82
SPX,2026-01-09,2026-01-16,4575,PUT,SPX260116P04575000,0.05,6966.28
SPX,2025-12-26,2026-01-16,4600,CALL,SPX260116C04600000,2336.92,6929.94
SPX,2025-12-18,2026-01-16,4625,CALL,SPX260116C04625000,2179.42,6774.76
SPX,2026-01-06,2026-01-16,4625,PUT,SPX260116P04625000,0.05,6944.82
SPX,2025-12-17,2026-01-16,4675,CALL,SPX260116C04675000,2085.12,6721.43
SPX,2026-01-09,2026-01-16,4675,PUT,SPX260116P04675000,0.03,6966.28
SPX,2025-12-11,2026-01-16,4700,CALL,SPX260116C04700000,2209.25,6901.0
SPX,2026-01-09,2026-01-16,4700,PUT,SPX260116P04700000,0.04,6966.28
SPX,2025-12-16,2026-01-16,4725,CALL,SPX260116C04725000,2078,6800.26
SPX,2026-01-09,2026-01-16,4725,PUT,SPX260116P04725000,0.05,6966.28
SPX,2026-01-09,2026-01-16,4750,PUT,SPX260116P04750000,0.05,6966.28
SPX,2024-10-28,2026-01-16,4775,CALL,SPX260116C04775000,1368.69,5823.52
SPX,2026-01-09,2026-01-16,4775,PUT,SPX260116P04775000,0.05,6966.28
SPX,2025-12-17,2026-01-16,4825,CALL,SPX260116C04825000,1996,6721.43
SPX,2026-01-06,2026-01-16,4825,PUT,SPX260116P04825000,0.1,6944.82
SPX,2025-10-27,2026-01-16,4850,CALL,SPX260116C04850000,2057.15,6875.16
SPX,2025-12-29,2026-01-16,4875,CALL,SPX260116C04875000,2049.57,6905.74
SPX,2026-01-05,2026-01-16,4875,PUT,SPX260116P04875000,0.05,6902.05
SPX,2026-01-06,2026-01-16,4900,CALL,SPX260116C04900000,2038.31,6944.82
SPX,2026-01-09,2026-01-16,4900,PUT,SPX260116P04900000,0.05,6966.28
SPX,2026-01-02,2026-01-16,4925,CALL,SPX260116C04925000,1932.88,6858.47
SPX,2026-01-08,2026-01-16,4925,PUT,SPX260116P04925000,0.1,6921.46
SPX,2026-01-02,2026-01-16,4950,CALL,SPX260116C04950000,1907.98,6858.47
SPX,2026-01-09,2026-01-16,4950,PUT,SPX260116P04950000,0.05,6966.28
SPX,2025-12-09,2026-01-16,4975,CALL,SPX260116C04975000,1892.23,6840.51
SPX,2026-01-09,2026-01-16,4975,PUT,SPX260116P04975000,0.05,6966.28
SPX,2026-01-09,2026-01-16,5000,PUT,SPX260116P05000000,0.05,6966.28
SPX,2025-12-26,2026-01-16,5025,CALL,SPX260116C05025000,1914.64,6929.94
SPX,2026-01-07,2026-01-16,5025,PUT,SPX260116P05025000,0.15,6920.93
SPX,2026-01-02,2026-01-16,5050,CALL,SPX260116C05050000,1792.32,6858.47
SPX,2025-11-21,2026-01-16,5075,CALL,SPX260116C05075000,1558.74,6602.99
SPX,2026-01-05,2026-01-16,5075,PUT,SPX260116P05075000,0.15,6902.05
SPX,2026-01-06,2026-01-16,5100,CALL,SPX260116C05100000,1837.77,6944.82
SPX,2025-11-21,2026-01-16,5125,CALL,SPX260116C05125000,1545.47,6602.99
SPX,2026-01-09,2026-01-16,5125,PUT,SPX260116P05125000,0.1,6966.28
SPX,2026-01-09,2026-01-16,5150,PUT,SPX260116P05150000,0.05,6966.28
SPX,2026-01-06,2026-01-16,5175,CALL,SPX260116C05175000,1743.96,6944.82
SPX,2026-01-09,2026-01-16,5175,PUT,SPX260116P05175000,0.1,6966.28
SPX,2026-01-09,2026-01-16,5200,PUT,SPX260116P05200000,0.1,6966.28
SPX,2026-01-09,2026-01-16,5275,CALL,SPX260116C05275000,1703.28,6966.28
